#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1082: Grand Targhee, WY
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Snow Depth                  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Grand Targhee (1082) 
# Wyoming  SNOTEL Site - 9260 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Apr 22, 2026, 3:04:41 PM GMT-08:00
#
Date,Grand Targhee (1082) Snow Water Equivalent (in) Start of Day Values,Grand Targhee (1082) Precipitation Accumulation (in) Start of Day Values,Grand Targhee (1082) Air Temperature Average (degF),Grand Targhee (1082) Air Temperature Maximum (degF),Grand Targhee (1082) Air Temperature Minimum (degF),Grand Targhee (1082) Snow Depth (in) Start of Day Values
2010-01-20,19.4,15.5,16.0,20.5,10.4,69
2010-01-21,19.5,15.6,17.8,22.6,15.3,70
2010-01-22,19.6,15.7,18.3,23.5,14.5,69
2010-01-23,20.2,16.3,13.3,15.6,11.3,73
2010-01-24,21.7,16.8,10.6,17.1,7.3,92
2010-01-25,22.0,17.1,14.0,22.1,9.1,92
2010-01-26,22.2,17.3,18.7,23.4,12.7,92
2010-01-27,22.7,17.8,19.0,28.8,13.5,90
2010-01-28,22.9,18.0,15.4,30.2,10.9,92
2010-01-29,22.9,18.0,18.9,32.0,11.5,89
2010-01-30,22.9,18.0,21.0,36.1,14.2,86
2010-01-31,23.0,18.1,14.5,19.6,12.4,85
2010-02-01,23.8,18.5,13.5,19.2,7.9,96
2010-02-02,24.0,18.6,15.8,21.0,9.5,95
2010-02-03,24.2,18.8,19.9,27.9,15.1,95
2010-02-04,24.5,19.0,15.4,20.1,10.4,95
2010-02-05,24.9,19.4,18.9,21.7,13.1,98
2010-02-06,25.6,20.0,16.5,25.2,7.7,100
2010-02-07,25.6,20.0,12.7,31.6,6.6,99
2010-02-08,25.6,20.0,9.7,23.0,4.6,97
2010-02-09,25.6,20.0,8.2,15.3,4.5,95
2010-02-10,25.6,20.0,9.7,16.3,5.9,94
2010-02-11,25.8,20.2,12.9,18.9,8.4,97
2010-02-12,25.9,20.3,18.3,21.6,15.4,98
2010-02-13,27.0,21.0,16.3,25.2,11.8,101
2010-02-14,27.0,21.0,14.7,27.5,7.5,98
2010-02-15,27.1,21.1,21.4,28.0,13.3,96
2010-02-16,27.3,21.3,18.7,27.0,11.3,97
2010-02-17,27.3,21.3,19.9,28.4,14.2,95
2010-02-18,27.3,21.3,11.5,25.9,5.0,94
2010-02-19,27.3,21.3,8.8,21.6,1.8,94
2010-02-20,27.3,21.3,6.6,17.4,0.0,95
2010-02-21,27.3,21.3,5.4,19.4,-0.8,96
2010-02-22,27.3,21.3,6.8,20.1,-3.5,89
2010-02-23,27.3,21.3,14.0,25.3,4.6,89
2010-02-24,27.5,21.5,16.9,20.3,14.0,89
2010-02-25,28.0,21.9,15.4,21.6,9.1,92
2010-02-26,28.0,21.9,19.0,28.8,11.7,90
2010-02-27,28.0,21.9,25.0,34.7,19.2,90
2010-02-28,28.0,21.9,22.5,36.5,15.8,91
2010-03-01,28.0,21.9,22.6,36.7,15.1,90
2010-03-02,28.1,22.0,26.4,35.6,19.6,90
2010-03-03,28.2,22.1,23.9,28.4,20.5,88
2010-03-04,28.4,22.3,26.4,37.4,20.8,89
2010-03-05,28.5,22.3,21.9,27.9,17.2,91
2010-03-06,28.5,22.3,25.0,35.6,17.6,90
2010-03-07,28.6,22.3,26.2,40.8,19.4,90
2010-03-08,28.7,22.3,21.2,32.7,14.4,90
2010-03-09,28.7,22.3,21.0,35.6,12.9,90
2010-03-10,28.7,22.3,10.9,19.4,3.6,89
2010-03-11,28.7,22.3,10.6,22.5,3.6,91
2010-03-12,28.7,22.3,23.2,36.5,7.7,89
2010-03-13,29.0,22.6,25.3,34.2,21.2,88
2010-03-14,29.3,22.9,26.6,42.1,17.8,96
2010-03-15,29.3,22.9,26.8,41.2,18.3,92
2010-03-16,29.3,22.9,30.7,45.0,20.5,91
2010-03-17,29.3,22.9,33.1,44.2,23.7,90
2010-03-18,29.3,22.9,22.3,29.7,10.9,88
2010-03-19,29.3,22.9,14.0,27.0,7.0,88
2010-03-20,29.3,22.9,17.1,27.5,6.1,89
2010-03-21,29.5,23.0,27.7,37.4,18.0,88
2010-03-22,29.8,23.1,19.9,26.6,13.1,87
2010-03-23,30.4,23.7,16.3,28.4,9.5,95
2010-03-24,30.5,23.7,20.5,34.3,10.4,94
2010-03-25,30.7,23.8,21.4,32.0,16.9,92
2010-03-26,31.2,24.0,17.4,24.8,13.6,96
2010-03-27,31.4,24.2,17.4,28.4,9.7,98
2010-03-28,31.5,24.2,24.4,33.1,12.4,97
2010-03-29,31.8,24.4,29.5,34.5,25.0,95
2010-03-30,32.0,24.5,20.8,27.0,9.7,94
2010-03-31,33.8,25.6,15.1,23.7,9.0,105
2010-04-01,34.1,25.7,13.8,18.3,6.4,105
2010-04-02,35.6,27.0,12.2,21.6,4.1,124
2010-04-03,36.0,27.0,10.6,16.5,2.1,118
2010-04-04,36.5,27.3,14.0,23.5,5.5,124
2010-04-05,36.6,27.4,20.5,31.5,14.7,120
2010-04-06,36.9,27.7,14.2,18.3,10.2,119
2010-04-07,37.8,28.5,16.0,25.5,5.7,134
2010-04-08,38.1,28.6,23.2,32.5,14.9,129
2010-04-09,38.1,28.6,14.4,25.3,6.4,125
2010-04-10,38.1,28.6,25.5,40.8,7.2,123
2010-04-11,38.2,28.6,37.0,44.4,29.5,119
2010-04-12,38.3,28.7,36.5,49.1,23.7,117
2010-04-13,38.5,28.8,21.0,30.2,18.3,113
2010-04-14,40.0,29.9,24.8,37.4,19.4,123
2010-04-15,40.0,29.9,34.5,48.0,21.7,120
2010-04-16,40.1,30.0,41.0,55.0,33.1,116
2010-04-17,40.1,30.0,36.7,46.6,30.6,114
2010-04-18,40.1,30.0,38.7,48.6,30.9,111
2010-04-19,40.1,30.0,43.5,55.2,34.0,109
2010-04-20,40.1,30.0,46.0,57.4,36.5,105
2010-04-21,40.1,30.0,40.6,54.9,32.2,102
2010-04-22,40.4,30.3,30.6,39.4,24.1,100
2010-04-23,40.9,30.8,29.3,41.9,23.0,106
2010-04-24,41.0,30.9,30.4,40.1,19.9,103
2010-04-25,40.9,30.9,24.1,30.4,19.2,100
2010-04-26,40.9,30.9,29.5,40.5,18.7,98
2010-04-27,40.9,30.9,36.3,45.9,26.6,99
2010-04-28,41.3,31.4,17.2,26.6,14.5,104
2010-04-29,41.9,32.0,16.7,19.0,13.6,105
2010-04-30,42.9,33.0,20.8,29.5,14.5,114
2010-05-01,43.2,33.3,20.7,25.7,16.9,115
2010-05-02,43.7,33.8,22.5,32.0,12.9,120
2010-05-03,43.7,33.8,25.3,30.6,19.2,116
2010-05-04,44.0,34.1,14.5,22.3,9.5,115
2010-05-05,44.0,34.1,18.9,28.2,9.5,116
2010-05-06,44.2,34.3,13.6,26.6,5.5,116
2010-05-07,44.5,34.6,19.4,34.2,7.2,121
2010-05-08,44.6,34.7,27.7,37.0,16.7,118
2010-05-09,44.7,34.8,30.7,42.6,22.6,117
2010-05-10,44.7,34.8,32.0,43.7,26.2,114
2010-05-11,44.7,34.8,28.4,35.6,24.4,112
2010-05-12,44.8,34.9,30.2,40.8,22.5,112
2010-05-13,44.8,34.9,28.8,42.1,21.9,111
2010-05-14,45.0,35.1,34.9,49.6,20.7,111
2010-05-15,45.0,35.1,39.6,53.8,27.9,109
2010-05-16,44.9,35.1,41.9,56.7,30.9,107
2010-05-17,44.8,35.1,47.1,58.8,36.5,105
2010-05-18,44.4,35.1,38.1,50.0,32.5,102
2010-05-19,43.9,35.4,34.3,39.2,31.5,101
2010-05-20,43.4,35.5,30.9,36.5,23.0,101
2010-05-21,43.4,35.6,29.8,37.9,23.2,102
2010-05-22,43.8,36.3,20.8,27.0,12.7,107
2010-05-23,44.5,36.9,27.3,46.6,10.4,114
2010-05-24,45.1,37.3,25.7,33.1,23.4,113
2010-05-25,45.9,37.7,30.9,43.5,21.6,118
2010-05-26,45.9,37.9,42.1,54.3,36.3,113
2010-05-27,46.0,38.0,42.6,48.2,37.8,110
2010-05-28,46.3,38.2,38.8,55.0,27.9,107
2010-05-29,46.3,38.2,27.3,32.2,24.3,108
2010-05-30,47.0,38.8,29.3,38.5,22.5,112
2010-05-31,46.9,38.8,36.5,44.8,29.3,111
2010-06-01,46.8,39.0,37.4,46.6,35.2,108
2010-06-02,46.7,39.2,37.9,40.6,35.1,104
2010-06-03,46.5,39.3,38.5,43.0,36.3,103
2010-06-04,46.1,39.7,38.7,40.6,36.3,99
2010-06-05,45.6,40.4,38.1,45.7,32.9,96
2010-06-06,44.6,40.9,39.4,41.2,37.8,94
2010-06-07,43.8,41.9,37.0,42.8,33.1,93
2010-06-08,43.3,42.8,41.4,53.1,29.7,91
2010-06-09,42.4,42.8,44.2,50.7,40.1,90
2010-06-10,41.7,43.0,37.0,54.7,27.7,89
2010-06-11,40.9,43.4,36.0,47.7,27.1,87
2010-06-12,40.2,43.5,36.9,45.0,32.2,86
2010-06-13,39.4,43.5,37.2,48.6,31.3,85
2010-06-14,39.2,43.8,44.4,54.7,33.4,83
2010-06-15,38.8,43.8,45.3,55.4,35.6,81
2010-06-16,38.0,44.1,37.2,51.3,23.5,79
2010-06-17,37.5,44.4,27.7,36.7,20.7,78
2010-06-18,37.1,44.5,42.3,56.8,26.4,78
2010-06-19,36.2,44.6,47.5,57.7,38.8,75
2010-06-20,35.5,44.6,49.5,59.4,39.6,74
2010-06-21,34.5,44.6,43.2,53.6,35.2,71
2010-06-22,33.3,44.6,41.7,49.5,32.5,67
2010-06-23,32.2,44.7,48.9,60.8,37.8,65
2010-06-24,31.2,44.8,54.1,68.0,44.6,63
2010-06-25,30.0,44.8,53.8,63.0,42.1,59
2010-06-26,28.3,44.8,47.3,57.0,40.5,56
2010-06-27,26.7,44.8,51.3,61.3,43.7,53
2010-06-28,25.0,44.8,57.6,71.4,43.9,50
2010-06-29,23.3,44.8,59.9,71.2,45.9,45
2010-06-30,21.0,44.8,57.6,66.2,48.4,42
2010-07-01,18.5,44.8,58.5,65.7,49.3,37
2010-07-02,15.5,44.8,54.1,62.1,42.8,33
2010-07-03,13.2,44.8,42.4,52.2,36.0,28
2010-07-04,11.9,44.8,43.2,52.7,34.0,25
2010-07-05,10.9,44.8,44.4,52.5,36.5,23
2010-07-06,8.9,44.8,43.0,51.1,36.1,20
2010-07-07,7.4,44.8,47.8,61.5,36.3,17
2010-07-08,6.0,44.8,54.0,66.6,44.4,13
2010-07-09,4.0,44.8,54.0,65.1,45.7,11
2010-07-10,2.3,44.8,52.5,63.1,41.9,6
2010-07-11,0.3,44.8,50.9,58.8,41.4,2
2010-07-12,0.0,44.8,54.7,61.2,46.0,0
2010-07-13,0.0,44.8,50.9,56.8,38.5,0
2010-07-14,0.0,44.8,46.2,56.5,34.0,0
2010-07-15,0.0,44.8,52.7,63.0,41.7,0
2010-07-16,0.0,44.8,62.8,72.5,52.2,0
2010-07-17,0.0,44.8,61.9,68.5,55.0,0
2010-07-18,0.0,44.8,61.3,68.7,53.1,0
2010-07-19,0.0,44.8,56.7,62.8,49.5,0
2010-07-20,0.0,44.8,56.1,64.8,45.9,0
2010-07-21,0.0,44.8,54.1,61.5,45.7,0
2010-07-22,0.0,44.9,53.8,60.4,47.5,0
2010-07-23,0.0,44.9,52.9,62.2,44.8,0
2010-07-24,0.0,44.9,57.6,68.0,47.7,0
2010-07-25,0.0,44.9,60.4,70.0,50.0,0
2010-07-26,0.0,44.9,59.9,70.5,50.9,0
2010-07-27,0.0,44.9,57.0,66.2,46.6,0
2010-07-28,0.0,44.9,58.8,68.4,48.2,0
2010-07-29,0.0,45.2,59.0,68.4,51.3,0
2010-07-30,0.0,45.2,57.2,70.9,48.2,0
2010-07-31,0.0,45.4,60.6,69.1,50.4,0
2010-08-01,0.0,45.4,59.0,66.9,53.2,0
2010-08-02,0.0,45.4,57.9,66.4,47.8,0
2010-08-03,0.0,45.4,56.8,67.3,44.1,0
2010-08-04,0.0,45.4,58.8,67.6,51.6,0
2010-08-05,0.0,45.4,59.0,70.0,48.6,0
2010-08-06,0.0,45.5,56.8,66.0,47.5,0
2010-08-07,0.0,45.5,55.2,61.2,50.2,0
2010-08-08,0.0,45.6,55.4,64.0,48.9,0
2010-08-09,0.0,45.6,49.5,55.8,42.8,0
2010-08-10,0.0,45.6,54.3,63.7,44.1,0
2010-08-11,0.0,45.6,55.0,62.6,47.1,0
2010-08-12,0.0,45.6,43.7,51.3,37.9,0
2010-08-13,0.0,45.6,44.6,55.2,34.7,0
2010-08-14,0.0,45.8,46.2,59.4,33.8,0
2010-08-15,0.0,45.8,53.6,65.1,42.8,0
2010-08-16,0.0,45.8,57.2,69.1,50.4,0
2010-08-17,0.0,45.8,57.7,66.0,50.0,0
2010-08-18,0.0,45.8,59.5,65.1,52.9,0
2010-08-19,0.0,45.8,54.7,61.5,48.4,0
2010-08-20,0.0,45.8,55.6,65.3,45.7,0
2010-08-21,0.0,45.8,62.1,70.7,54.9,0
2010-08-22,0.0,45.8,47.3,60.6,32.9,0
2010-08-23,0.0,46.0,39.4,49.3,31.5,0
2010-08-24,0.0,46.1,50.2,62.6,36.3,0
2010-08-25,0.0,46.2,58.8,68.4,49.3,0
2010-08-26,0.0,46.2,63.7,71.6,54.7,0
2010-08-27,0.0,46.2,55.6,62.6,46.0,0
2010-08-28,0.0,46.2,46.6,55.0,36.1,0
2010-08-29,0.0,46.5,43.5,50.4,36.0,0
2010-08-30,0.0,46.5,33.3,39.6,30.0,0
2010-08-31,0.0,46.6,36.1,44.8,29.5,0
2010-09-01,0.0,46.7,38.1,45.5,31.8,0
2010-09-02,0.0,47.1,42.6,55.0,30.2,0
2010-09-03,0.0,47.1,53.1,62.1,41.9,0
2010-09-04,0.0,47.1,56.8,64.0,50.0,0
2010-09-05,0.0,47.1,41.2,51.1,27.0,0
2010-09-06,0.0,47.1,32.4,41.7,21.6,0
2010-09-07,0.0,47.1,48.4,59.2,33.1,0
2010-09-08,0.0,47.1,50.4,57.7,44.8,0
2010-09-09,0.0,47.1,36.3,50.4,28.2,0
2010-09-10,1.6,48.8,30.6,33.8,28.0,10
2010-09-11,1.7,49.1,38.8,48.6,29.5,8
2010-09-12,1.5,49.2,47.7,57.2,38.1,6
2010-09-13,1.3,49.3,51.6,61.2,43.9,4
2010-09-14,0.7,49.3,49.5,58.8,39.2,3
2010-09-15,0.0,49.3,45.0,54.1,36.0,0
2010-09-16,0.0,49.3,49.1,56.8,44.1,0
2010-09-17,0.0,49.3,53.1,61.3,45.0,0
2010-09-18,0.0,49.3,54.3,61.5,49.6,0
2010-09-19,0.0,49.3,56.5,63.5,43.9,0
2010-09-20,0.0,49.3,40.6,48.0,35.6,0
2010-09-21,0.0,49.3,44.8,55.0,34.5,0
2010-09-22,0.0,49.3,47.5,56.8,34.9,0
2010-09-23,0.0,49.3,40.1,47.7,32.2,0
2010-09-24,0.0,49.3,44.6,52.5,37.8,0
2010-09-25,0.0,49.3,51.6,60.8,41.4,0
2010-09-26,0.0,49.4,56.8,64.9,51.6,0
2010-09-27,0.0,49.4,55.0,65.8,45.9,0
2010-09-28,0.0,49.4,56.7,65.3,49.5,0
2010-09-29,0.0,49.4,53.2,64.2,45.9,0
2010-09-30,0.0,49.4,53.6,65.1,46.4,0
2010-10-01,0.0,0.0,54.9,64.2,46.6,0
2010-10-02,0.0,0.0,56.8,66.2,49.8,0
2010-10-03,0.0,0.0,55.4,65.1,47.5,0
2010-10-04,0.0,0.0,45.7,53.1,40.3,0
2010-10-05,0.0,0.1,44.6,54.7,38.1,0
2010-10-06,0.0,0.1,47.5,54.0,40.6,0
2010-10-07,0.0,0.2,39.6,49.1,32.9,0
2010-10-08,0.0,0.2,30.9,33.1,29.8,0
2010-10-09,0.0,0.7,33.4,38.5,31.3,0
2010-10-10,0.0,0.7,37.0,41.2,30.7,0
2010-10-11,0.0,0.8,37.8,41.4,30.7,0
2010-10-12,0.0,1.0,31.6,40.6,26.4,0
2010-10-13,0.0,1.0,37.4,48.4,28.8,0
2010-10-14,0.0,1.0,44.8,54.3,36.7,0
2010-10-15,0.0,1.0,41.2,46.6,35.8,0
2010-10-16,0.0,1.0,40.6,46.0,34.9,0
2010-10-17,0.0,1.0,39.2,45.3,33.1,0
2010-10-18,0.0,1.0,36.1,44.8,30.7,0
2010-10-19,0.0,1.0,35.8,44.8,29.7,0
2010-10-20,0.0,1.0,41.4,52.9,34.0,0
2010-10-21,0.0,1.0,42.3,54.9,35.8,0
2010-10-22,0.0,1.0,36.3,43.0,31.3,0
2010-10-23,0.0,1.0,31.8,37.0,26.4,0
2010-10-24,0.2,1.2,29.5,32.2,23.5,2
2010-10-25,2.5,2.5,19.6,23.5,16.5,16
2010-10-26,3.8,3.3,16.0,19.8,13.6,19
2010-10-27,4.4,4.0,15.8,25.0,10.2,25
2010-10-28,4.6,4.3,24.8,32.4,13.1,25
2010-10-29,4.7,4.7,32.9,39.6,28.4,23
2010-10-30,4.7,4.7,32.9,40.6,28.8,22
2010-10-31,4.9,4.8,27.1,28.8,21.4,22
2010-11-01,6.1,5.7,25.9,32.0,20.5,25
2010-11-02,5.9,5.7,33.1,43.9,26.8,25
2010-11-03,6.0,5.8,35.8,49.6,27.3,25
2010-11-04,6.0,5.8,39.9,53.6,33.8,24
2010-11-05,6.0,5.8,41.9,50.2,36.9,24
2010-11-06,6.0,5.8,41.4,48.9,33.3,23
2010-11-07,6.0,5.8,36.0,39.2,33.8,23
2010-11-08,6.0,5.8,25.2,35.2,17.8,22
2010-11-09,6.2,6.0,13.8,18.3,6.3,25
2010-11-10,6.5,6.2,12.9,20.3,7.2,28
2010-11-11,6.5,6.2,12.7,19.0,8.2,28
2010-11-12,6.7,6.5,15.8,20.8,12.7,29
2010-11-13,6.8,6.6,14.5,17.1,12.0,30
2010-11-14,6.9,6.7,19.2,21.6,16.0,30
2010-11-15,7.8,7.4,21.7,24.6,20.3,35
2010-11-16,8.5,8.1,20.3,27.1,15.6,38
2010-11-17,9.5,8.7,16.9,20.5,10.9,42
2010-11-18,9.6,8.8,25.0,28.8,19.9,42
2010-11-19,9.6,8.8,24.1,27.7,20.7,39
2010-11-20,9.7,8.9,19.9,26.6,9.7,39
2010-11-21,11.5,9.5,12.0,20.3,7.5,51
2010-11-22,11.9,9.8,7.9,11.5,5.0,55
2010-11-23,12.6,9.9,5.5,15.3,-12.8,59
2010-11-24,13.9,10.2,-13.7,-12.6,-15.2,65
2010-11-25,13.9,10.2,-4.5,4.3,-16.1,61
2010-11-26,14.2,10.5,12.2,24.4,-0.8,59
2010-11-27,14.4,10.7,18.3,21.0,14.5,56
2010-11-28,14.6,10.9,12.9,17.4,5.0,57
2010-11-29,14.9,11.2,1.9,11.8,-5.3,63
2010-11-30,14.9,11.2,6.3,14.2,-4.4,61
2010-12-01,15.0,11.3,17.6,22.3,11.8,58
2010-12-02,15.9,12.1,24.3,26.4,22.1,60
2010-12-03,16.4,12.6,18.3,24.1,8.2,61
2010-12-04,17.3,13.1,20.8,28.0,8.4,67
2010-12-05,17.5,13.1,25.2,31.8,21.2,65
2010-12-06,17.5,13.1,23.5,30.0,20.5,63
2010-12-07,17.9,13.4,20.7,26.6,15.8,65
2010-12-08,17.9,13.4,22.3,25.0,17.8,64
2010-12-09,18.1,13.6,21.2,23.0,19.9,64
2010-12-10,18.2,13.7,17.4,23.4,10.8,63
2010-12-11,18.7,14.0,13.6,20.3,11.3,67
2010-12-12,19.0,14.2,26.4,29.3,18.7,67
2010-12-13,19.5,14.5,26.4,28.4,25.2,67
2010-12-14,19.5,14.5,24.1,28.8,14.5,66
2010-12-15,20.6,15.6,10.2,14.5,5.2,74
2010-12-16,20.6,15.6,5.0,14.5,-0.8,74
2010-12-17,20.6,15.6,6.8,12.9,1.8,75
2010-12-18,20.6,15.6,16.9,21.2,7.5,72
2010-12-19,21.0,15.9,21.6,25.7,17.8,72
2010-12-20,22.3,16.7,12.0,18.0,9.7,78
2010-12-21,22.3,16.7,14.2,28.4,8.8,77
2010-12-22,22.3,16.7,23.0,27.0,18.0,75
2010-12-23,22.7,17.0,21.4,26.2,15.6,78
2010-12-24,23.2,17.3,18.9,31.6,12.7,80
2010-12-25,23.2,17.3,29.5,38.1,22.5,79
2010-12-26,23.2,17.3,22.3,34.5,13.1,77
2010-12-27,23.2,17.3,11.5,14.5,9.1,76
2010-12-28,23.2,17.3,14.2,19.0,9.3,76
2010-12-29,23.8,17.7,14.4,20.5,0.0,78
2010-12-30,24.3,17.8,0.9,11.3,-6.0,84
2010-12-31,24.3,17.8,-9.0,3.0,-17.0,84
2011-01-01,24.3,17.8,-7.4,2.5,-14.3,82
2011-01-02,24.3,17.8,2.8,10.4,-7.1,81
2011-01-03,24.8,18.1,4.1,15.1,-0.8,86
2011-01-04,24.8,18.1,4.6,9.5,-1.1,86
2011-01-05,25.0,18.3,12.2,17.1,6.6,86
2011-01-06,25.2,18.5,21.2,30.9,14.9,87
2011-01-07,25.6,18.6,25.2,30.6,21.2,86
2011-01-08,25.6,18.6,13.6,23.2,1.2,82
2011-01-09,25.6,18.6,-2.0,7.2,-8.0,87
2011-01-10,25.6,18.6,-2.9,-0.2,-5.4,86
2011-01-11,26.0,18.9,1.2,12.9,-3.1,87
2011-01-12,26.0,18.9,15.4,19.2,5.2,86
2011-01-13,26.6,19.3,21.0,23.9,18.3,85
2011-01-14,27.7,20.1,22.1,26.6,19.2,90
2011-01-15,27.9,20.3,23.4,26.6,21.7,88
2011-01-16,28.1,20.4,25.3,28.8,21.6,88
2011-01-17,30.6,22.5,24.1,28.0,20.3,96
2011-01-18,31.0,22.9,17.6,20.3,16.0,102
2011-01-19,31.6,23.4,10.0,18.0,-1.3,104
2011-01-20,31.6,23.4,4.6,14.4,-3.3,104
2011-01-21,31.9,23.7,14.5,21.6,7.3,105
2011-01-22,32.8,23.9,13.6,20.8,5.0,110
2011-01-23,32.8,23.9,12.0,19.9,6.3,109
2011-01-24,33.1,24.2,11.8,27.5,3.9,108
2011-01-25,33.2,24.3,19.6,30.9,12.2,106
2011-01-26,33.3,24.4,17.1,31.5,10.8,104
2011-01-27,33.3,24.4,23.7,39.0,15.1,103
2011-01-28,33.5,24.5,25.2,34.7,21.2,102
2011-01-29,33.6,24.6,21.6,27.5,17.8,101
2011-01-30,33.6,24.6,21.2,27.7,12.2,100
2011-01-31,33.6,24.6,0.3,12.6,-11.7,100
2011-02-01,33.6,24.6,-10.1,1.8,-16.1,101
2011-02-02,33.6,24.6,6.6,22.1,-7.6,101
2011-02-03,33.6,24.6,20.1,30.7,12.9,99
2011-02-04,33.7,24.7,20.5,26.6,16.3,98
2011-02-05,34.1,24.8,13.6,21.2,6.1,98
2011-02-06,34.1,24.9,7.9,16.5,1.0,100
2011-02-07,34.3,25.0,14.0,19.4,5.7,103
2011-02-08,35.4,25.5,3.6,17.4,-4.5,112
2011-02-09,35.4,25.5,0.3,9.9,-8.0,111
2011-02-10,35.4,25.5,7.9,15.6,2.5,109
2011-02-11,35.4,25.5,14.7,22.6,9.9,107
2011-02-12,35.5,25.6,21.6,29.8,15.4,107
2011-02-13,35.5,25.6,24.8,28.4,21.0,106
2011-02-14,35.5,25.6,27.5,34.9,22.5,103
2011-02-15,35.5,25.6,28.8,34.5,24.6,102
2011-02-16,35.5,25.7,22.1,28.8,5.7,99
2011-02-17,35.5,25.7,7.2,9.3,5.2,101
2011-02-18,35.5,25.7,16.5,20.3,8.6,102
2011-02-19,35.6,25.8,21.4,25.9,15.8,101
2011-02-20,36.1,26.1,11.7,20.3,7.0,102
2011-02-21,37.4,27.2,8.6,16.0,5.0,123
2011-02-22,37.8,27.6,8.2,11.7,5.0,123
2011-02-23,37.9,27.7,5.9,12.6,3.4,120
2011-02-24,38.1,27.8,6.6,9.7,3.7,119
2011-02-25,38.4,28.1,7.7,15.3,1.9,123
2011-02-26,38.8,28.4,6.1,15.6,1.0,121
2011-02-27,38.8,28.4,3.9,15.8,-4.0,119
2011-02-28,38.8,28.4,12.6,16.5,4.6,117
2011-03-01,38.8,28.4,20.3,27.0,15.8,112
2011-03-02,38.8,28.4,23.5,27.3,20.5,110
2011-03-03,38.9,28.5,19.9,23.4,15.3,112
2011-03-04,39.3,28.9,14.9,20.3,12.6,113
2011-03-05,39.5,29.1,18.3,20.7,13.6,114
2011-03-06,40.1,29.6,17.6,28.4,5.4,115
2011-03-07,40.6,30.0,15.8,31.8,4.3,121
2011-03-08,40.7,30.1,13.1,18.0,11.3,121
2011-03-09,41.2,30.5,18.3,25.2,8.6,127
2011-03-10,41.5,30.8,28.0,34.9,19.2,124
2011-03-11,41.7,31.0,16.7,22.1,14.2,126
2011-03-12,41.7,31.0,19.6,28.8,14.9,121
2011-03-13,41.7,31.0,22.6,29.8,17.4,121
2011-03-14,41.9,31.1,23.5,28.2,16.2,123
2011-03-15,42.0,31.2,24.6,30.2,14.9,120
2011-03-16,42.6,31.8,21.9,30.0,12.0,119
2011-03-17,43.3,32.4,12.7,20.5,6.4,125
2011-03-18,43.3,32.4,17.8,24.3,9.5,124
2011-03-19,43.3,32.4,19.0,28.0,7.9,121
2011-03-20,43.3,32.4,19.6,30.9,7.3,120
2011-03-21,43.6,32.6,25.2,34.3,15.8,119
2011-03-22,43.9,32.9,16.3,19.0,10.4,121
2011-03-23,45.6,34.4,17.4,27.0,8.8,137
